X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
251,20,3-4 days,2,Male,55-64,93111,No,Home is here,$1 - $20,$1 - $20,NA,0,0,$1 - $20,"$1,000-$1,999",$1 - $20,$50-$99,$1 - $20,Resident,"Friends, family or no expense",200
210,20,3-4 days,3,Female,25-34,80306,Yes,NA,$50-$99,$1 - $20,0,$21-$49,$1 - $20,0,$200-$499,$20-$49,$100-$199,$1 - $20,Two nights,"Friends, family or no expense",0
80,1-2 times,3-4 days,2,Male,65-74,80309,NA,Home is here,$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$100-$199,$200-$499,Three nights,NA,240
201,20,5-6 days,6,Female,25-34,80305,No,Live in area,$50-$99,"$2,000-$3,000",$1 - $20,$21-$49,0,$1 - $20,"$1,000-$1,999",$500-$999,$200-$499,0,One night,Hotel or motel,N/A
85,3-4 times,1-2 days,2,Female,18-24,80303,NA,Didn't extend stay,$1 - $20,"$2,000-$3,000",$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$100-$199,NA,$500-$999,Three nights,"Friends, family or no expense",500
278,35,3-4 days,4,Female,75-84,80305,NA,2 days,"$1,000.00",$200-$499,"$1,000-$1,499",$1 - $20,0,$21-$49,$200-$499,$100-$199,$100-$199,$20-$49,Day trip,NA,N/A
165,20,1-2 days,2,Female,35-44,80304,No,Zero,$21-$49,$50-$99,$100-$199,0,NA,NA,NA,$1 - $20,$500-$999,$1 - $20,Multiple day trips,Hotel or motel,N/A
282,1-2 times,1-2 days,3,Female,55-64,93437,No,Live in area,$50-$99,$500-$999,$1 - $20,0,0,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
11,20,0,0,Female,45-54,80309,NA,A few hours,0,0,0,0,0,0,$100-$199,$20-$49,$1 - $20,$1 - $20,Resident,Hotel or motel,500
39,3-4 times,1-2 days,2,Female,75-84,80306,No,Home is here,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Local,Boulder Resident,280
161,20,3-4 days,2.5,Male,35-44,80305,No,0,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$20-$49,$1 - $20,NA,$20-$49,Four nights,NA,3
187,5-6 times,1-2 days,2,Female,55-64,80309,No,0,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,NA,Local,Home,125
278,35,3-4 days,4,Female,75-84,80305,NA,2 days,"$1,000.00",$200-$499,"$1,000-$1,499",$1 - $20,0,$21-$49,$200-$499,$100-$199,$100-$199,$20-$49,Day trip,NA,N/A
291,5-6 times,7-8 days,3,Female,45-54,80306,Yes,A few hours,$1 - $20,$500-$999,$100-$199,$100-$199,$21-$49,$100-$199,"$1,000-$1,999",$50-$99,$50-$99,$500-$999,Local resident,Hotel or motel,500
215,20,5-6 days,8,Female,25-34,80303,NA,Live in area,$50-$99,$21-$49,$1 - $20,$21-$49,"$1,000-$1,499",$21-$49,"$2,000-$4,999",0,$500-$999,$200-$499,Live in Boulder,Hotel or motel,3
184,5-6 times,1-2 days,4,Female,25-34,80302,No,1 day,$21-$49,$1 - $20,$21-$49,$50-$99,$1 - $20,$21-$49,$20-$49,0,0,$20-$49,Local,Hotel or motel,0
243,3-4 times,3-4 days,10,Male,55-64,80303,NA,Live in area,$500-$999,0,0,$1 - $20,$100-$199,$1 - $20,$100-$199,NA,$200-$499,0,Three nights,NA,280
160,20,1-2 days,5,Female,25-34,93460,No,Didn't extend stay,$21-$49,$1 - $20,$1 - $20,$21-$49,$100-$199,$100-$199,"$1,000-$1,999",$200-$499,$500-$999,$200-$499,Day trip,"Friends, family or no expense",N/A
57,20,0,0,Male,25-34,80306,NA,I live here,$1 - $20,0,0,0,0,0,$200-$499,0,$500-$999,$50-$99,One night,Home,240
180,3-4 times,3-4 days,4,Female,25-34,80306,No,Zero,$21-$49,$50-$99,0,$21-$49,$1 - $20,0,NA,$20-$49,$500-$999,NA,NA,Boulder Resident,240
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,0,$1 - $20,0,"$1,000-$1,499",$50-$99,NA,$100-$199,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",NA
222,45,12,3,Female,65-74,80309,Yes,Home is here,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,"$2,000-$4,999",$20-$49,$500-$999,$20-$49,Live in Boulder,Boulder Resident,0
186,5-6 times,1-2 days,3,Male,25-34,80303,No,0,$21-$49,0,0,0,0,$21-$49,$1 - $20,$1 - $20,$20-$49,$1 - $20,NA,"Friends, family or no expense",NA
260,20,3-4 days,20,Male,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$500-$999,$500-$999,$50-$99,$50-$99,0,NA,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
220,20,1-2 days,2,Female,45-54,80309,NA,NA,$50-$99,0,0,$50-$99,0,0,$50-$99,NA,$50-$99,$1 - $20,Local resident,Home,175
181,3-4 times,5-6 days,5,Female,25-34,80303,NA,I live here,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$50-$99,$20-$49,$200-$499,$50-$99,Day trip,"Friends, family or no expense",175
181,3-4 times,5-6 days,5,Female,25-34,80303,NA,I live here,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$50-$99,$20-$49,$200-$499,$50-$99,Day trip,"Friends, family or no expense",175
81,1-2 times,3-4 days,10,Female,35-44,80304,No,2 days,$1 - $20,$1 - $20,$1 - $20,$200-$499,$200-$499,NA,$20-$49,$50-$99,0,$1 - $20,Local resident,"Friends, family or no expense",NA
80,1-2 times,3-4 days,2,Male,65-74,80309,NA,Home is here,$1 - $20,$1 - $20,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$100-$199,$200-$499,Three nights,NA,240
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$20-$49,$100-$199,$1 - $20,Resident,Hotel or motel,N/A
196,45,3-4 days,4,Male,55-64,93004,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,NA,$21-$49,$1 - $20,$21-$49,$500-$999,$20-$49,$1 - $20,$1 - $20,$20-$49,Day trip,"Friends, family or no expense",200
180,3-4 times,3-4 days,4,Female,25-34,80306,No,Zero,$21-$49,$50-$99,0,$21-$49,$1 - $20,0,NA,$20-$49,$500-$999,NA,NA,Boulder Resident,240
138,1,3-4 days,4,Female,45-54,80303,No,Home is here,$21-$49,$1 - $20,0,0,0,$1 - $20,0,$50-$99,0,$200-$499,Local,Home,0
1,0,0,5,Male,55-64,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,0,0,0,"$1,000-$1,999",$500-$999,NA,$1 - $20,Three nights,Home,240
68,20,0,1,Male,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,$1 - $20,0,0,0,$20-$49,0,$200-$499,Four nights,Home,200
207,20,3-4 days,2,Female,65-74,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$50-$99,0,$21-$49,$1 - $20,0,0,$20-$49,$500-$999,$200-$499,$50-$99,Local,Hotel or motel,N/A
150,20,1-2 days,3,Female,65-74,80302,No,NA,$21-$49,0,0,$1 - $20,0,$21-$49,0,$50-$99,NA,$500-$999,Multiple day trips,Home,3
187,5-6 times,1-2 days,2,Female,55-64,80309,No,0,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,NA,Local,Home,125
108,20,1-2 days,2,Male,45-54,80303,Yes,0,$100-$199,$500-$999,$200-$499,$21-$49,$500-$999,NA,$1 - $20,$50-$99,$20-$49,0,Two nights,Hotel or motel,200
119,56,5-6 days,4,Female,45-54,93035,NA,2 days,$100-$199,0,$100-$199,$50-$99,0,$21-$49,"$2,000-$4,999",$50-$99,$50-$99,$200-$499,One night,"Friends, family or no expense",125
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
136,NA,40,4,Female,45-54,80309,Yes,-,$200-$499,0,"$1,000.00",$100-$199,$500-$999,$100-$199,$20-$49,$20-$49,$50-$99,0,One night,"Friends, family or no expense",0
11,20,0,0,Female,45-54,80309,NA,A few hours,0,0,0,0,0,0,$100-$199,$20-$49,$1 - $20,$1 - $20,Resident,Hotel or motel,500
89,3-4 times,1-2 days,1,Female,25-34,80303,NA,A few hours,$1 - $20,$21-$49,$100-$199,$21-$49,$500-$999,$200-$499,$200-$499,$50-$99,$1 - $20,0,One night,"Friends, family or no expense",500
21,20,1-2 days,3,Female,55-64,80309,NA,-,0,0,0,$1 - $20,0,0,$50-$99,$50-$99,$20-$49,$1 - $20,Live in Boulder,NA,N/A
17,20,0,0,Female,65-74,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,NA,$100-$199,$50-$99,Resident,"Friends, family or no expense",200
266,20,3-4 days,3,Male,35-44,93013,Yes,-,$100-$199,$100-$199,0,NA,$21-$49,"$5,000.00",$50-$99,$100-$199,$20-$49,0,Multiple day trips,Home,0
172,1-2 times,1-2 days,3,Female,25-34,80309,No,Home is here,$21-$49,0,0,$1 - $20,0,0,$20-$49,$50-$99,NA,$50-$99,One night,"Friends, family or no expense",175
39,3-4 times,1-2 days,2,Female,75-84,80306,No,Home is here,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Local,Boulder Resident,280
170,1-2 times,1-2 days,3,Female,25-34,93111,No,NA,$21-$49,0,0,$1 - $20,0,0,$1 - $20,$20-$49,NA,$200-$499,Multiple day trips,"Friends, family or no expense",240
234,5-6 times,1-2 days,2,Female,45-54,80303,NA,I live here,$50-$99,0,0,0,0,0,$100-$199,0,$50-$99,$50-$99,Two nights,"Friends, family or no expense",200
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,0,$1 - $20,0,"$1,000-$1,499",$50-$99,NA,$100-$199,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",NA
290,5-6 times,3-4 days,4,Female,55-64,80306,NA,2 days,$21-$49,$1 - $20,"$1,000.00",NA,"$1,000-$1,499",$50-$99,$20-$49,$200-$499,$500-$999,$1 - $20,Local resident,Home,240
282,1-2 times,1-2 days,3,Female,55-64,93437,No,Live in area,$50-$99,$500-$999,$1 - $20,0,0,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
59,20,3-4 days,7,Male,45-54,80303,No,Zero,$1 - $20,0,0,0,0,$1 - $20,$20-$49,$500-$999,$500-$999,$200-$499,One night,Hotel or motel,280
132,20,7-8 days,9,Female,55-64,80309,NA,0,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$100-$199,$500-$999,$500-$999,$50-$99,Three nights,"Friends, family or no expense",280
10,20,0,0,Male,45-54,80306,NA,A few hours,0,0,0,0,0,0,0,$200-$499,$50-$99,$50-$99,Four nights,"Friends, family or no expense",280
228,3-4 times,7-8 days,6,Male,25-34,80303,No,Didn't extend stay,$50-$99,$100-$199,$1 - $20,$1 - $20,0,$100-$199,0,$50-$99,$1 - $20,NA,One night,NA,125
61,20,0,2,Female,75-84,80309,No,Didn't extend stay,$1 - $20,0,0,0,$21-$49,$21-$49,"$2,000-$4,999",$100-$199,NA,$50-$99,Multiple day trips,"Friends, family or no expense",N/A
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
55,1,1-2 days,2,Female,25-34,80305,No,-,$1 - $20,0,0,0,0,0,$20-$49,$50-$99,NA,$500-$999,Local,Home,500
266,20,3-4 days,3,Male,35-44,93013,Yes,-,$100-$199,$100-$199,0,NA,$21-$49,"$5,000.00",$50-$99,$100-$199,$20-$49,0,Multiple day trips,Home,0
285,3-4 times,1-2 days,3,Female,85,80309,NA,I live here,$200-$499,$21-$49,$100-$199,$500-$999,NA,NA,"$2,000-$4,999",0,$500-$999,$1 - $20,Day trip,Hotel or motel,240
186,5-6 times,1-2 days,3,Male,25-34,80303,No,0,$21-$49,0,0,0,0,$21-$49,$1 - $20,$1 - $20,$20-$49,$1 - $20,NA,"Friends, family or no expense",NA
56,20,1-2 days,2,Female,55-64,93111,No,A few hours,$1 - $20,0,0,0,0,NA,$50-$99,$50-$99,NA,$500-$999,Three nights,Home,175
270,20,1-2 days,3,Male,35-44,93111,Yes,NA,$50-$99,"$1,000-$1,499",$1 - $20,$100-$199,$1 - $20,$50-$99,NA,$1 - $20,$50-$99,$20-$49,Multiple day trips,Home,240
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$500-$999,$21-$49,$1 - $20,$1 - $20,$100-$199,0,$50-$99,$200-$499,Two nights,Home,500
62,20,1-2 days,3,Female,65-74,80304,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$50-$99,0,0,0,0,$50-$99,NA,NA,$50-$99,Two nights,Hotel or motel,500
224,1-2 times,1-2 days,6,Female,18-24,80304,Yes,A few hours,$50-$99,$50-$99,$100-$199,$50-$99,$100-$199,0,"$2,000-$4,999",$200-$499,$20-$49,$20-$49,Live in Boulder,"Friends, family or no expense",NA
73,20,5-6 days,5,Female,65-74,80306,NA,I live here,$1 - $20,"$1,000-$1,499",$1 - $20,$1 - $20,0,$500-$999,$20-$49,$100-$199,$200-$499,$20-$49,Resident,Home,0
128,20,7-8 days,3,Female,35-44,80309,NA,Zero,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$1 - $20,$20-$49,$200-$499,$50-$99,Local,Hotel or motel,3
229,3-4 times,3-4 days,4,Female,55-64,80306,NA,Didn't extend stay,$50-$99,$200-$499,$21-$49,$1 - $20,$21-$49,$200-$499,0,$20-$49,0,NA,Four nights,Boulder Resident,NA
152,20,1-2 days,2.5,Female,25-34,80304,NA,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,$20-$49,$500-$999,$20-$49,$500-$999,Live in Boulder,Boulder Resident,125
58,20,1-2 days,1,Male,45-54,80309,Yes,Zero,$1 - $20,0,0,0,0,0,$100-$199,$50-$99,$50-$99,0,Resident,Boulder Resident,200
40,40,0,0,Male,45-54,80306,Yes,1 day,0,0,0,0,0,0,NA,$100-$199,0,$50-$99,Local,Hotel or motel,200
277,20,0,0,Female,55-64,80303,No,Live in area,$21-$49,$500-$999,$1 - $20,$1 - $20,$200-$499,0,$200-$499,$200-$499,$500-$999,$1 - $20,One night,Home,200
200,20,1-2 days,4,Female,55-64,93003,Yes,A few hours,$50-$99,0,$1 - $20,$21-$49,0,0,$1 - $20,$20-$49,$20-$49,$50-$99,NA,NA,NA
30,1-2 times,0,0,Male,65-74,80303,Yes,I live here,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,0,One night,Boulder Resident,0
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$20-$49,$100-$199,$1 - $20,Resident,Hotel or motel,N/A
163,20,1-2 days,3,Male,25-34,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,NA,NA,$20-$49,$1 - $20,Four nights,"Friends, family or no expense",240
252,20,5-6 days,10,Male,45-54,80305,Yes,Live in area,0,$21-$49,"$1,000.00",$500-$999,$21-$49,"$3,000-$4,000",0,0,0,0,Day trip,Home,500
126,20,7-8 days,3,Female,35-44,80309,No,Home is here,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$50-$99,$200-$499,$20-$49,$200-$499,Two nights,Home,280
123,20,3-4 days,5,Female,25-34,80309,Yes,1 day,$200-$499,$100-$199,$1 - $20,$21-$49,$1 - $20,$100-$199,$20-$49,$50-$99,NA,$500-$999,I live here,Hotel or motel,3
81,1-2 times,3-4 days,10,Female,35-44,80304,No,2 days,$1 - $20,$1 - $20,$1 - $20,$200-$499,$200-$499,NA,$20-$49,$50-$99,0,$1 - $20,Local resident,"Friends, family or no expense",NA
222,45,12,3,Female,65-74,80309,Yes,Home is here,$50-$99,$21-$49,0,$21-$49,$100-$199,$1 - $20,"$2,000-$4,999",$20-$49,$500-$999,$20-$49,Live in Boulder,Boulder Resident,0
260,20,3-4 days,20,Male,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$500-$999,$500-$999,$50-$99,$50-$99,0,NA,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
115,3-4 times,1-2 days,3,Female,25-34,80303,NA,0,$100-$199,0,0,$1 - $20,0,0,$50-$99,0,$200-$499,0,NA,"Friends, family or no expense",175
274,20,3-4 days,6,Female,55-64,80306,No,I live here,$200-$499,$1 - $20,NA,$100-$199,$200-$499,0,$20-$49,0,$50-$99,$20-$49,Multiple day trips,"Friends, family or no expense",200
214,20,3-4 days,6,Female,25-34,80306,NA,NA,$50-$99,"$1,000-$1,499",$1 - $20,$21-$49,$100-$199,$500-$999,$50-$99,NA,$100-$199,$1 - $20,Four nights,"Friends, family or no expense",240
191,5-6 times,1-2 days,4,Female,35-44,80309,NA,Live in area,$21-$49,$200-$499,$1 - $20,$1 - $20,NA,$100-$199,"$1,000-$1,999",0,NA,0,Four nights,Home,200
146,20,1-2 days,5,Female,45-54,80303,NA,1 day,$21-$49,0,0,0,0,0,$50-$99,$20-$49,$100-$199,0,Local,Hotel or motel,175
51,5-6 times,0,NA,Female,55-64,80303,NA,Didn't extend stay,0,0,$200-$499,$21-$49,$200-$499,"$5,000.00",$50-$99,$50-$99,$20-$49,$20-$49,Two nights,Boulder Resident,240
272,20,1-2 days,4,Female,65-74,80305,NA,2 days,$21-$49,0,$100-$199,$200-$499,$1 - $20,"$3,000-$4,000",$50-$99,$50-$99,$20-$49,$50-$99,Live in Boulder,Home,280
211,20,3-4 days,4,Male,35-44,80303,NA,NA,$50-$99,$50-$99,0,$21-$49,0,0,"$1,000-$1,999",$50-$99,NA,$20-$49,NA,NA,200
240,1,12,4,Female,18-24,12345,No,0,$500-$999,$50-$99,$100-$199,$500-$999,0,$500-$999,$50-$99,$100-$199,0,NA,Day trip,Boulder Resident,0
223,1-2 times,1-2 days,5,Female,65-74,93113,No,0,$50-$99,0,$1 - $20,0,0,$21-$49,$200-$499,$1 - $20,NA,$200-$499,Local resident,"Friends, family or no expense",280
185,5-6 times,1-2 days,1,Female,25-34,93013,No,Home is here,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,$500-$999,Local resident,Hotel or motel,175
33,1-2 times,0,2,Female,65-74,80309,Yes,1 day,0,0,0,0,0,$21-$49,$20-$49,0,$1 - $20,$1 - $20,Local resident,Home,0
139,1,1-2 days,1,Female,25-34,80306,NA,2 days,$21-$49,0,0,$1 - $20,0,0,$100-$199,$100-$199,$1 - $20,$500-$999,Three nights,NA,200
190,5-6 times,3-4 days,3,Female,25-34,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,$1 - $20,$1 - $20,0,NA,0,$1 - $20,0,$200-$499,Multiple day trips,Boulder Resident,175
28,1-2 times,0,0,Female,55-64,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,$1 - $20,$100-$199,$200-$499,NA,"Friends, family or no expense",125
214,20,3-4 days,6,Female,25-34,80306,NA,NA,$50-$99,"$1,000-$1,499",$1 - $20,$21-$49,$100-$199,$500-$999,$50-$99,NA,$100-$199,$1 - $20,Four nights,"Friends, family or no expense",240
130,20,7-8 days,3,Female,35-44,80309,No,1 day,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$100-$199,$100-$199,NA,$1 - $20,I live here,Home,0
214,20,3-4 days,6,Female,25-34,80306,NA,NA,$50-$99,"$1,000-$1,499",$1 - $20,$21-$49,$100-$199,$500-$999,$50-$99,NA,$100-$199,$1 - $20,Four nights,"Friends, family or no expense",240
102,20,3-4 days,8,Female,35-44,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,$21-$49,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Hotel or motel,NA
281,1-2 times,3-4 days,4,Male,18-24,93107,NA,I live here,0,"$1,000-$1,499",$21-$49,$200-$499,$500-$999,$50-$99,$1 - $20,0,0,0,Resident,Home,NA
71,20,3-4 days,NA,Female,55-64,80304,Yes,1 day,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$20-$49,$100-$199,$200-$499,$1 - $20,Local resident,"Friends, family or no expense",0
274,20,3-4 days,6,Female,55-64,80306,No,I live here,$200-$499,$1 - $20,NA,$100-$199,$200-$499,0,$20-$49,0,$50-$99,$20-$49,Multiple day trips,"Friends, family or no expense",200
112,56,20,4,Female,55-64,93111,No,-,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$200-$499,$200-$499,$50-$99,0,One night,Boulder Resident,280
206,20,5-6 days,2,Female,Prefer not to say,80309,Yes,-,$50-$99,$200-$499,$1 - $20,$1 - $20,$50-$99,$21-$49,$100-$199,0,$500-$999,NA,Four nights,Home,500
65,20,3-4 days,3,Female,45-54,80309,No,Live in area,$1 - $20,$1 - $20,$1 - $20,0,$1 - $20,$1 - $20,"$2,000-$4,999",$200-$499,NA,$1 - $20,I live here,Hotel or motel,280
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,NA,$1 - $20,$50-$99,$20-$49,Live in Boulder,Home,500
57,20,0,0,Male,25-34,80306,NA,I live here,$1 - $20,0,0,0,0,0,$200-$499,0,$500-$999,$50-$99,One night,Home,240
103,20,1-2 days,5,Female,35-44,80303,No,0,$100-$199,0,$21-$49,$1 - $20,$21-$49,$21-$49,"$1,000-$1,999",$500-$999,$200-$499,$500-$999,NA,NA,500
92,5-6 times,1-2 days,1,Male,25-34,80303,No,Home is here,$1 - $20,0,0,0,0,0,0,$50-$99,$1 - $20,$50-$99,NA,Hotel or motel,200
148,20,3-4 days,3,Female,35-44,80306,NA,Home is here,$21-$49,0,$1 - $20,0,$1 - $20,$500-$999,$20-$49,NA,$500-$999,0,Local resident,Boulder Resident,280
125,20,7-8 days,3,Female,35-44,80309,Yes,Didn't extend stay,$200-$499,0,$21-$49,$21-$49,0,NA,0,$200-$499,$20-$49,$200-$499,Local resident,Hotel or motel,175
263,20,1-2 days,2,Female,35-44,80305,No,A few hours,$50-$99,"$1,000-$1,499",$500-$999,$1 - $20,$200-$499,NA,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
97,5-6 times,1-2 days,3,Female,55-64,80306,No,0,$1 - $20,0,0,$1 - $20,0,$1 - $20,NA,0,0,$1 - $20,Resident,NA,NA
88,3-4 times,3-4 days,3,Female,25-34,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,NA,$50-$99,$1 - $20,$1 - $20,$200-$499,$200-$499,$200-$499,$500-$999,$500-$999,Local,Home,175
100,20,3-4 days,2,Female,45-54,80306,No,Live in area,$100-$199,0,0,$1 - $20,0,0,$20-$49,$500-$999,$1 - $20,$50-$99,Local,"Friends, family or no expense",175
259,20,3-4 days,3,Male,35-44,80305,NA,0,$50-$99,$100-$199,$500-$999,$100-$199,NA,$100-$199,$20-$49,$100-$199,NA,$50-$99,Day trip,Home,280
47,5-6 times,0,4,Female,45-54,80309,NA,I live here,0,0,0,0,0,0,$1 - $20,$1 - $20,$500-$999,$500-$999,NA,Boulder Resident,175
282,1-2 times,1-2 days,3,Female,55-64,93437,No,Live in area,$50-$99,$500-$999,$1 - $20,0,0,0,$1 - $20,0,0,0,Two nights,Hotel or motel,175
126,20,7-8 days,3,Female,35-44,80309,No,Home is here,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$50-$99,$200-$499,$20-$49,$200-$499,Two nights,Home,280
170,1-2 times,1-2 days,3,Female,25-34,93111,No,NA,$21-$49,0,0,$1 - $20,0,0,$1 - $20,$20-$49,NA,$200-$499,Multiple day trips,"Friends, family or no expense",240
28,1-2 times,0,0,Female,55-64,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,$1 - $20,$100-$199,$200-$499,NA,"Friends, family or no expense",125
163,20,1-2 days,3,Male,25-34,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,NA,NA,$20-$49,$1 - $20,Four nights,"Friends, family or no expense",240
181,3-4 times,5-6 days,5,Female,25-34,80303,NA,I live here,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$50-$99,$20-$49,$200-$499,$50-$99,Day trip,"Friends, family or no expense",175
52,29,0,0,Male,65-74,80309,No,Didn't extend stay,0,0,0,0,0,0,$200-$499,$20-$49,$1 - $20,NA,Two nights,Hotel or motel,125
287,5-6 times,1-2 days,4,Female,45-54,91320,Yes,Home is here,$1 - $20,$500-$999,$50-$99,$21-$49,0,$100-$199,$20-$49,$50-$99,$200-$499,NA,Day trip,Home,280
202,20,3-4 days,9,Male,35-44,80303,No,Home is here,$50-$99,0,0,0,0,0,$200-$499,$100-$199,$500-$999,$1 - $20,NA,Hotel or motel,0
203,20,1-2 days,1,Female,55-64,80303,Yes,-,$50-$99,0,0,0,0,0,$100-$199,$50-$99,0,$1 - $20,I live here,Hotel or motel,0
193,5-6 times,5-6 days,1,Male,55-64,80306,No,Zero,$21-$49,$1 - $20,$1 - $20,$21-$49,$1 - $20,$50-$99,$1 - $20,$20-$49,$1 - $20,$20-$49,Multiple day trips,Home,N/A
161,20,3-4 days,2.5,Male,35-44,80305,No,0,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$20-$49,$1 - $20,NA,$20-$49,Four nights,NA,3
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,2 days,$1 - $20,"$1,000-$1,499",$1 - $20,$1 - $20,$21-$49,$1 - $20,$20-$49,$1 - $20,$500-$999,0,Four nights,Hotel or motel,200
276,20,1-2 days,6,Male,55-64,80305,Yes,Zero,0,$100-$199,0,$200-$499,$50-$99,NA,$100-$199,0,$500-$999,0,Two nights,NA,N/A
216,20,5-6 days,5,Female,45-54,80303,NA,A few hours,$50-$99,$100-$199,$100-$199,$21-$49,0,$500-$999,$1 - $20,$1 - $20,NA,$500-$999,Local resident,Home,0
278,35,3-4 days,4,Female,75-84,80305,NA,2 days,"$1,000.00",$200-$499,"$1,000-$1,499",$1 - $20,0,$21-$49,$200-$499,$100-$199,$100-$199,$20-$49,Day trip,NA,N/A
99,35,1-2 days,3,Female,55-64,80309,No,2 days,$1 - $20,$1 - $20,$1 - $20,$1 - $20,0,0,NA,$100-$199,$200-$499,$50-$99,Resident,Home,NA
242,20,5-6 days,6,Male,45-54,80303,NA,NA,$500-$999,$500-$999,$50-$99,$100-$199,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Local resident,Boulder Resident,175
